frames head.translateX head.translateY head.translateZ chest.translateX chest.translateY chest.translateZ rightShoulder.translateX rightShoulder.translateY rightShoulder.translateZ leftShoulder.translateX leftShoulder.translateY leftShoulder.translateZ rightShoulder.translateX rightShoulder.translateY rightShoulder.translateZ riHand.translateX riHand.translateY riHand.translateZ leHand.translateX leHand.translateY leHand.translateZ riFoot.translateX riFoot.translateY riFoot.translateZ leFoot.translateX leFoot.translateY leFoot.translateZ
55 1.2607 59.4192 6.0144 0.2021 25.3904 3.2802 -11.3541 42.4895 2.7183 13.1119 42.1553 2.7655 -11.3541 42.4895 2.7183 -12.3415 77.4823 25.7174 19.532 -7.2304 -0.1311 -10.9804 -87.1686 -10.7595 11.5402 -87.0019 -10.3248
56 1.2471 59.4173 6.0372 0.2064 25.3888 3.2951 -11.3583 42.4825 2.7352 13.1072 42.1585 2.7863 -11.3583 42.4825 2.7352 -12.2623 76.1016 28.8235 19.5556 -7.2244 -0.1043 -10.9774 -87.1751 -10.7103 11.5458 -87.0073 -10.2831
57 1.2324 59.4154 6.0599 0.2096 25.3872 3.3096 -11.3633 42.4754 2.7493 13.101 42.1613 2.8085 -11.3633 42.4754 2.7493 -12.4754 73.6294 32.7511 19.5777 -7.2185 -0.0893 -10.9774 -87.1815 -10.6604 11.5416 -87.0142 -10.2462
58 1.2189 59.4134 6.0762 0.2138 25.386 3.3198 -11.3665 42.469 2.7547 13.0968 42.1637 2.8283 -11.3665 42.469 2.7547 -12.9918 69.8638 37.1187 19.5857 -7.2142 -0.0833 -10.9803 -87.1878 -10.6099 11.5392 -87.0202 -10.2124
59 1.21 59.4117 6.0864 0.2231 25.3853 3.3258 -11.3631 42.4635 2.7544 13.0993 42.1659 2.8429 -11.3631 42.4635 2.7544 -13.8081 64.6531 41.4616 19.5775 -7.2113 -0.0846 -10.9974 -87.1929 -10.5644 11.5224 -87.0266 -10.1882
60 1.2025 59.4106 6.0925 0.2353 25.3846 3.3301 -11.3558 42.4571 2.7508 13.1051 42.1686 2.8545 -11.3558 42.4571 2.7508 -14.9203 57.959 45.2409 19.5702 -7.21 -0.1113 -11.0227 -87.1961 -10.5303 11.5008 -87.0311 -10.1777
61 1.1962 59.4098 6.0949 0.2495 25.3842 3.3323 -11.3483 42.4486 2.7431 13.1099 42.1731 2.862 -11.3483 42.4486 2.7431 -16.2458 49.9774 47.882 19.5429 -7.2061 -0.1322 -11.0561 -87.1969 -10.5123 11.4667 -87.035 -10.1852
62 1.1885 59.4095 6.091 0.2613 25.3843 3.3293 -11.3433 42.441 2.7275 13.1121 42.178 2.8635 -11.3433 42.441 2.7275 -17.6564 41.0301 48.9102 19.5029 -7.2042 -0.1625 -11.0971 -87.196 -10.505 11.4267 -87.0368 -10.2031
63 1.1776 59.4098 6.0821 0.271 25.3849 3.3227 -11.3418 42.4335 2.7064 13.1111 42.1841 2.862 -11.3418 42.4335 2.7064 -19.0113 31.556 47.9802 19.471 -7.1993 -0.1998 -11.1398 -87.1942 -10.5043 11.3863 -87.0391 -10.2288
64 1.1622 59.4104 6.0706 0.2777 25.3857 3.3139 -11.3454 42.4254 2.6828 13.1053 42.1921 2.858 -11.3454 42.4254 2.6828 -20.1914 22.2599 44.9793 19.4433 -7.1921 -0.2327 -11.1825 -87.1916 -10.5094 11.3475 -87.0402 -10.2606
